,winner,loser,map,리마스터,방식,대회 레벨,대회 이름,중요도
1112,김진경[경기대학교],엄정화[가수],77,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1113,김유진[sOs],김진경[경기대학교],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1114,김준호[herO],슈(유수영)[SES],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1115,원이삭[PartinG],권리세[레이디스코드],89,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1116,김승도[SW],안정환[축구선수],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1117,김대엽[Stats],써니(이순규)[소녀시대],73,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1118,김준호[herO],하연주[배우],70,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1119,김동건[서울대학교],전용준[캐스터],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1120,최정문[서울대학교],민도희[배우],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1121,박인경[SW],레이디제인(전지혜)[방송인],79,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1122,유리(차현옥)[쿨],노현민[숭실대학교],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1123,이윤열[NaDa],이호진[서울대학교],91,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1124,이호진[서울대학교],황광희[제-아],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1125,아자 황[개발자],박태원[아나운서],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1126,송예찬[광운대학교],박근혜[정치인],73,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1127,조병세[sKyHigh],허경영[정치인],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1128,아이유(이지은)[가수],김경운[SW],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1129,조타(이종화)[몬스타엑스],소찬휘(김경희)[가수],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1130,이윤열[NaDa],김준호[코미디언],49,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1131,아이유(이지은)[가수],허경영[정치인],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1132,주성욱[Zest],노예란[가톨릭대학교],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1133,문희상[정치인],이국주[코미디언],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1134,루나(박선영)[f(x)],김웅용[공학자],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1135,김진경[경기대학교],이재은[경기대학교],67,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1136,박준형[g.o.d],이승현[Life],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1137,홍진호[YellOw],노무현[정치인],85,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1138,임요환[Slayer_S BoxeR],정윤종[Rain],74,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1139,김지원[아나운서],데미스 허사비스[개발자],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1140,손연재[리듬체조],김지민[코미디언],95,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1141,김명민[배우],이영표[축구선수],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1142,박보영[배우],김준호[herO],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1143,강민[Nal_rA],첸(김종대)[EXO],88,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1144,송지효(천수연)[배우],황광희[제-아],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1145,민도희[배우],이연희[배우],95,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1146,리지(박수영)[애프터스쿨],김구라(김현동)[방송인],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1147,김경훈[일리노이주립대],조경아[아나운서],73,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1148,김경훈[일리노이주립대],여은(정지은)[멜로디데이],70,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1149,마재윤[sAviOr],하니(안희연)[EXID],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1150,이정현[가수],A.지아(윤영아)[리브하이],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1151,유병언[KSK],김은아[숭실대학교],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1152,김준현[코미디언],이혜리[걸스데이],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1153,정형돈[코미디언],전용준[캐스터],80,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1154,이윤열[NaDa],고인규[Canata],71,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1155,어윤수[soO],김영만[종이공예],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1156,이나경[서경대학교],바다(최성희)[SES],94,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1157,장동민[코미디언],김종국[터보],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1158,임요환[Slayer_S BoxeR],박진호[동국대학교],77,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1159,유재석[방송인],슈(유수영)[SES],78,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1160,황지영[리포터],김정남[터보],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1161,정명훈[FanTaSy],김준호[herO],55,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1162,제임스 폴 메카트니 경[비틀즈],김유진[SES],59,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1163,남휘종[강사],강한솔[간호사],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1164,이호진[서울대학교],아이유(이지은)[가수],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1165,하연주[배우],이현경[아나운서],94,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1166,공서영[아나운서],이병렬[Rogue],85,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1167,아자 황[개발자],박인경[SW],95,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1168,GD(권지용)[빅뱅],한지원[ByuL],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1169,최정문[서울대학교],오현민[KAIST],71,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1170,조성주[Maru],조병세[sKyHigh],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1171,김준호[코미디언],원이삭[PartinG],80,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1172,백종원[요리연구가],김승도[SW],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1173,정윤종[Rain],노현민[숭실대학교],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1174,김유진[sOs],김동건[서울대학교],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1175,이제동[JD],박소진[걸스데이],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1176,김태성[경기대학교],전태양[TY],76,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1177,유태성[경희대학교],정준영[가수],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1178,김연우(김학철)[가수],박보영[남서울대학교],57,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1179,이영표[축구선수],안현진[한라대학교],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1180,주성욱[Zest],김석원[부천대학교],88,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1181,이영호[FlaSh],안정환[축구선수],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1182,손연재[리듬체조],송병구[Stork],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1183,오주영[인천대학교],루나(박선영)[f(x)],69,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1184,한승엽[Yooi],박준형[g.o.d],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1185,아이유(이지은)[가수],여은(정지은)[멜로디데이],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1186,첸(김종대)[EXO],박근혜[정치인],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1187,오현민[KAIST],유리(차현옥)[쿨],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1188,조성주[Maru],이재훈[쿨],88,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1189,이병렬[Rogue],조경아[아나운서],49,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1190,김유진[sOs],조타(이종화)[몬스타엑스],74,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1191,한지원[ByuL],전용준[캐스터],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1192,정윤종[Rain],류현진[야구선수],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1193,원이삭[PartinG],진세연(김윤정)[배우],88,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1194,유병언[KSK],이봉주[SW],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1195,하연주[배우],고은비[레이디스코드],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1196,황지영[리포터],박준형[g.o.d],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1197,제임스 폴 메카트니 경[비틀즈],이영표[축구선수],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1198,전태양[TY],박지성[축구선수],82,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1199,장동민[코미디언],김지민[코미디언],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1200,김나나[기자],허솔지[EXID],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1201,최연성[iloveoov],안정환[축구선수],88,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1202,김연우(김학철)[가수],김윤[SW],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1203,정명훈[FanTaSy],김대엽[Stats],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1204,남휘종[강사],루나(박선영)[f(x)],91,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1205,조민웅[직업군인],정준영[가수],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1206,홍진호[YellOw],이나경[서경대학교],67,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1207,유재석[방송인],윤보미[에이핑크],65,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1208,오주영[인천대학교],지누(김진우)[지누션],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1209,써니(이순규)[소녀시대],박보영[남서울대학교],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1210,박찬우[숭실대학교],임성춘[IntotheRain],75,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1211,송병구[Stork],박진호[동국대학교],55,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1212,김태성[경기대학교],김영만[종이공예],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1213,김준호[herO],김택용[Bisu],85,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1214,서경종[Shark],션(노승환)[지누션],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1215,조성모[가수],손영지[관동대학교],91,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1216,김성아[고려대학교],김석원[부천대학교],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1217,김영만[종이공예],강현종[해설],76,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1218,김태성[경기대학교],바다(최성희)[SES],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1219,임시완[제-아],이제동[JD],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1220,김범진[강남대학교],슈(유수영)[SES],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1221,이영호[FlaSh],써니(이순규)[소녀시대],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1222,남휘종[강사],정윤종[Rain],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1223,어윤수[soO],아이유(이지은)[가수],91,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1224,장동민[코미디언],이병렬[Rogue],77,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1225,조성주[Maru],황지영[리포터],95,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1226,김윤[SW],백종원[요리연구가],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1227,정명훈[FanTaSy],하연주[배우],67,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1228,박지성[축구선수],조세호[코미디언],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1229,정은지[에이핑크],조민웅[직업군인],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1230,백지원[건국대학교],김유진[sOs],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1231,오현민[KAIST],이나경[서경대학교],92,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1232,최연성[iloveoov],한지원[ByuL],69,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1233,남휘종[강사],오현민[KAIST],94,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1234,김웅용[공학자],박용욱[Kingdom],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1235,이신형[InNovation],조병세[sKyHigh],75,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1236,노현민[숭실대학교],김진경[경기대학교],67,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1237,김기석[SW],김승도[SW],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1238,이승현[Life],GD(권지용)[빅뱅],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1239,오해찬[KAIST],김동건[서울대학교],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1240,정초희[경기대학교],소찬휘(김경희)[가수],94,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1241,최정문[서울대학교],김명민[배우],80,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1242,김빛이라[기자],이현경[아나운서],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1243,아자 황[개발자],이재은[경기대학교],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1244,유주(최유나)[여자친구],레이디제인(전지혜)[방송인],95,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1245,최정문[서울대학교],박보영[배우],65,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1246,강한솔[간호사],이혜리[걸스데이],85,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1247,송지효(천수연)[배우],조성모[가수],69,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1248,박찬우[숭실대학교],김은아[숭실대학교],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1249,정준하[방송인],김현정[가수],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1250,김준호[herO],김경훈[일리노이주립대],89,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1251,김준호[herO],김경훈[일리노이주립대],77,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1252,강민[Nal_rA],김영만[종이공예],65,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1253,마재윤[sAviOr],임시완[제-아],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1254,정형돈[코미디언],슈(유수영)[SES],79,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1255,이정현[가수],써니(이순규)[소녀시대],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1256,션(노승환)[지누션],이서진[배우],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1257,지누(김진우)[지누션],고인규[Canata],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1258,김종민[코요테],서유리[성우],76,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1259,김동건[서울대학교],유상우[인하대학교],78,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1260,아자 황[개발자],안현진[한라대학교],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1261,이영호[FlaSh],최정문[서울대학교],70,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1262,김승도[SW],송병구[Stork],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1263,소찬휘(김경희)[가수],김철민[캐스터],83,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1264,GD(권지용)[빅뱅],김석원[부천대학교],59,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1265,오주영[인천대학교],박용욱[Kingdom],73,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1266,배수지[MissA],이승원[해설],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1267,김태성[경기대학교],이호진[서울대학교],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1268,김택용[Bisu],노현민[숭실대학교],67,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1269,송예찬[광운대학교],박보영[남서울대학교],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1270,조병세[sKyHigh],유태성[경희대학교],87,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1271,김태성[경기대학교],아자 황[개발자],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1272,김대엽[Stats],정준하[방송인],57,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1273,김경훈[일리노이주립대],주성욱[Zest],70,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1274,송지효(천수연)[배우],김연우(김학철)[가수],79,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1275,고인규[Canata],윤보미[에이핑크],80,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1276,전태양[TY],이정현[가수],60,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1277,강민[Nal_rA],이영표[축구선수],75,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1278,허솔지[EXID],마재윤[sAviOr],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1279,박소진[걸스데이],김구라(김현동)[방송인],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1280,홍진호[YellOw],이서진[배우],59,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1281,이혜리[걸스데이],안정환[축구선수],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1282,루나(박선영)[f(x)],이유리[배우],90,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1283,이국주[코미디언],정형돈[코미디언],82,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1284,이승현[Life],정준하[방송인],72,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1285,김경훈[일리노이주립대],이신형[InNovation],63,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1286,방민아[걸스데이],김은아[숭실대학교],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1287,김구라(김현동)[방송인],데미스 허사비스[개발자],68,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1288,이신형[InNovation],마재윤[sAviOr],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1289,마재윤[sAviOr],김진경[경기대학교],80,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1290,이재은[경기대학교],이정현[가수],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1291,강민[Nal_rA],정초희[경기대학교],84,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1292,이혜리[걸스데이],유주(최유나)[여자친구],86,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1293,오해찬[KAIST],송지효(천수연)[배우],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1294,김웅용[공학자],정형돈[코미디언],71,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1295,이서진[배우],박보영[배우],56,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1296,고인규[Canata],노예란[가톨릭대학교],65,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1297,이승현[Life],이정현[가수],57,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1298,여은(정지은)[멜로디데이],박상현[캐스터],93,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1299,이영호[FlaSh],첸(김종대)[EXO],61,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1300,손대영[해설],하동훈[가수],78,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1301,박보영[남서울대학교],고은비[레이디스코드],59,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1302,유병언[KSK],김태성[경기대학교],94,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1303,이제동[JD],민도희[배우],75,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1304,김택용[Bisu],김준현[코미디언],89,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1305,손영지[관동대학교],하니(안희연)[EXID],64,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1306,유태성[경희대학교],조타(이종화)[몬스타엑스],58,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1307,오주영[인천대학교],박형식[제-아],62,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1308,김범진[강남대학교],유리(차현옥)[쿨],81,X,팀리그,프로리그,KMS 프로리그 15-16,정규시즌
1309,장동민[코미디언],이연희[배우],90,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1310,레이디제인(전지혜)[방송인],김종민[코요테],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1311,유재석[방송인],이국주[코미디언],0,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1312,송지효(천수연)[배우],강호동[방송인],89,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1313,박준형[g.o.d],권강남(나메카와 야스오)[방송인],0,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1314,정준영[가수],박명수[방송인],89,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1315,김준호[코미디언],조세호[코미디언],-1,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1316,정형돈[코미디언],김명민[배우],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,16강
1317,레이디제인(전지혜)[방송인],장동민[코미디언],-1,X,개인리그,마이너,The Broadcast-Star's League - 서울,8강
1318,유재석[방송인],송지효(천수연)[배우],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,8강
1319,정준영[가수],박준형[g.o.d],-1,X,개인리그,마이너,The Broadcast-Star's League - 서울,8강
1320,정형돈[코미디언],김준호[코미디언],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,8강
1321,유재석[방송인],레이디제인(전지혜)[방송인],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,4강
1322,레이디제인(전지혜)[방송인],유재석[방송인],89,X,개인리그,마이너,The Broadcast-Star's League - 서울,4강
1323,유재석[방송인],레이디제인(전지혜)[방송인],0,X,개인리그,마이너,The Broadcast-Star's League - 서울,4강
1324,정형돈[코미디언],정준영[가수],89,X,개인리그,마이너,The Broadcast-Star's League - 서울,4강
1325,정형돈[코미디언],정준영[가수],90,X,개인리그,마이너,The Broadcast-Star's League - 서울,4강
1326,정형돈[코미디언],유재석[방송인],-2,X,개인리그,마이너,The Broadcast-Star's League - 서울,결승
1327,정형돈[코미디언],유재석[방송인],87,X,개인리그,마이너,The Broadcast-Star's League - 서울,결승
1328,유재석[방송인],정형돈[코미디언],0,X,개인리그,마이너,The Broadcast-Star's League - 서울,결승
1329,유재석[방송인],정형돈[코미디언],88,X,개인리그,마이너,The Broadcast-Star's League - 서울,결승
1330,정형돈[코미디언],유재석[방송인],90,X,개인리그,마이너,The Broadcast-Star's League - 서울,결승
1331,김철민[캐스터],조성모[가수],3,X,개인리그,마이너,시니어리그 S1,16강
1332,김건모[가수],이승원[해설],3,X,개인리그,마이너,시니어리그 S1,16강
1333,김성수[쿨],유병언[KSK],87,X,개인리그,마이너,시니어리그 S1,16강
1334,유재석[방송인],이명박[정치인],88,X,개인리그,마이너,시니어리그 S1,16강
1335,김준호[코미디언],이완구[정치인],88,X,개인리그,마이너,시니어리그 S1,16강
1336,박명수[방송인],강호동[방송인],1,X,개인리그,마이너,시니어리그 S1,16강
1337,조현아[KSK],노무현[정치인],88,X,개인리그,마이너,시니어리그 S1,16강
1338,김웅용[공학자],문희상[정치인],2,X,개인리그,마이너,시니어리그 S1,16강
1339,김건모[가수],김철민[캐스터],1,X,개인리그,마이너,시니어리그 S1,8강
1340,유재석[방송인],김성수[쿨],88,X,개인리그,마이너,시니어리그 S1,8강
1341,김준호[코미디언],박명수[방송인],2,X,개인리그,마이너,시니어리그 S1,8강
1342,김웅용[공학자],조현아[KSK],3,X,개인리그,마이너,시니어리그 S1,8강
1343,김건모[가수],유재석[방송인],2,X,개인리그,마이너,시니어리그 S1,4강
1344,유재석[방송인],김건모[가수],1,X,개인리그,마이너,시니어리그 S1,4강
1345,유재석[방송인],김건모[가수],87,X,개인리그,마이너,시니어리그 S1,4강
1346,김준호[코미디언],김웅용[공학자],87,X,개인리그,마이너,시니어리그 S1,4강
1347,김웅용[공학자],김준호[코미디언],1,X,개인리그,마이너,시니어리그 S1,4강
1348,김웅용[공학자],김준호[코미디언],3,X,개인리그,마이너,시니어리그 S1,4강
1349,유재석[방송인],김웅용[공학자],3,X,개인리그,마이너,시니어리그 S1,결승
1350,유재석[방송인],김웅용[공학자],87,X,개인리그,마이너,시니어리그 S1,결승
1351,오현민[KAIST],어윤수[soO],26,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1352,장동민[코미디언],임요환[Slayer_S BoxeR],78,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1353,김택용[Bisu],김경훈[일리노이주립대],84,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1354,홍진호[YellOw],정명훈[FanTaSy],4,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1355,아이유(이지은)[가수],박명수[방송인],82,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1356,조성주[Maru],정준하[방송인],17,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1357,유재석[방송인],김태성[경기대학교],8,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1358,김진경[경기대학교],황광희[제-아],24,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1359,박보영[남서울대학교],조타(이종화)[몬스타엑스],46,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1360,오주영[인천대학교],김경운[SW],37,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1361,김범진[강남대학교],유상우[인하대학교],27,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1362,루나(박선영)[f(x)],이현경[아나운서],21,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1363,김연우(김학철)[가수],황지영[리포터],94,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
1364,김나나[기자],소찬휘(김경희)[가수],69,X,팀리그,그룹퍼,SK플래닛 그룹퍼리그 1,정규시즌
